crop,irr_type,mean_pred,ci_lo,ci_hi,All_year
hay_alfalfa_irr1,Irrigated,9.299264805205452,3.4132414866188943,15.18528812379201,9.326879342349798
hay_alfalfa_irr2,Dry,5.5425733893462255,2.2602318596929414,8.824914918999509,5.546305252617033
hay_non_alfalfa_irr2,Dry,3.734517655861728,1.8242397998389104,5.6447955118845465,3.70151070895504
hay_non_alfalfa_irr1,Irrigated,3.8731025889260553,1.2114792884997712,6.534725889352338,3.857760512300388
wheat_winter_irr1,Irrigated,3.964551470980732,1.530413651870367,6.398689290091097,3.690169273011989
wheat_winter_irr2,Dry,2.2811655400261257,0.6647524734667737,3.897578606585478,2.3411039227972084
barley_spring_irr1,Irrigated,4.310160407132503,2.2221896991149093,6.398131115150096,4.264737314804076
barley_spring_irr2,Dry,2.1931435783506643,0.9864155596984888,3.39987159700284,2.163682348474929
corn_grain_irr1,Irrigated,9.179900470134548,6.255201299221681,12.104599641047416,9.375093693811833
corn_grain_irr2,Dry,7.490531095262991,2.679492314162069,12.30156987636391,7.278403006115273
corn_silage_irr1,Irrigated,48.67121999568836,31.376920374819647,65.96551961655706,49.28960042291359
corn_silage_irr2,Dry,30.556719151147764,14.43307934684446,46.68035895545106,30.01083988398288
cotton_upland_irr1,Irrigated,0.9839692281555548,0.3874184285966073,1.5805200277145024,0.9706352964209938
cotton_upland_irr2,Dry,0.6363311316288013,0.1360315411747496,1.136630722082853,0.6043212890967723
oats_fall_irr2,Dry,1.6823044693409357,0.6258154490283854,2.7387934896534856,1.707394035050836
oats_spring_irr1,Irrigated,2.0927598252195043,1.1795818015628494,3.0059378488761594,2.0634669696995216
oats_spring_irr2,Dry,1.7296983139385893,1.0068503003874267,2.452546327489752,1.6930978052863683
potatoes_fall_irr1,Irrigated,39.55001544545171,14.45675334537296,64.64327754553047,38.944919335357326
potatoes_summer_irr2,Dry,17.6563674068596,6.967935571253271,28.34479924246593,17.626331827253995
rice_irr1,Irrigated,6.365992436761068,3.100291497020891,9.631693376501245,6.354581460276332
soybeans_irr1,Irrigated,3.105406002980482,2.19990423269122,4.010907773269744,3.1062782292289284
soybeans_irr2,Dry,2.6072136329754265,1.3969785393684506,3.817448726582402,2.578774066705441
sugarbeets_irr1,Irrigated,55.10112775939427,28.510341735741264,81.69191378304727,54.26948467508447
wheat_durum_irr2,Dry,1.7046401755044194,0.9929164708109616,2.4163638801978773,1.7504666758897007
wheat_spring_irr1,Irrigated,4.736188923055775,2.6549524616448816,6.817425384466668,4.652028028339696
wheat_spring_irr2,Dry,1.78840870191192,0.5393792293295968,3.037438174494243,1.880575079401561
